document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
64,2012-12-01,international,87,0,0.022988505747126436,0.022988505747126436,0.022988505747126436,0.011494252873563218,0.034482758620689655,0,0,0,0,0.011494252873563218,0.011494252873563218,0.022988505747126436
65,2012-12-01,national,88,0.045454545454545456,0.011363636363636364,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.06818181818181818,0.011363636363636364,0,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.03409090909090909
66,2012-12-01,both,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0,0.02564102564102564,0.02564102564102564,0,0.02564102564102564,0,0.05128205128205128,0,0.05128205128205128
67,2013-01-01,national,75,0.02666666666666667,0.02666666666666667,0.05333333333333334,0,0,0,-0.013333333333333334,0.013333333333333334,0,0,0.02666666666666667,0.013333333333333334,0.04
68,2013-01-01,international,96,-0.010416666666666666,0.052083333333333336,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.020833333333333332,-0.020833333333333332,0.020833333333333332,0,0,-0.020833333333333332,0.020833333333333332,0
69,2013-01-01,national,104,0.028846153846153848,0,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.038461538461538464,0,0.009615384615384616,0.009615384615384616,0,0.028846153846153848,0,0.028846153846153848
70,2013-01-01,both,39,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0,0.02564102564102564,0.02564102564102564,0,0.02564102564102564,0,0.05128205128205128,0,0.05128205128205128
71,2013-02-01,national,22,0.045454545454545456,0,0.045454545454545456,0,0,0,0,0,0,0,0.045454545454545456,0,0.045454545454545456
72,2013-02-01,national,51,0,0.058823529411764705,0.058823529411764705,0,0,0,-0.0196078431372549,0.0196078431372549,0,0,0.0392156862745098,0,0.0392156862745098
73,2013-02-01,international,50,-0.02,0.06,0.04,-0.02,0.06,0.04,0,0,0,0,-0.02,0.04,0.02
74,2013-02-01,international,77,0.025974025974025976,0.025974025974025976,0.05194805194805195,0.03896103896103896,0,0.03896103896103896,0,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.025974025974025976
75,2013-02-01,national,68,0.058823529411764705,0,0.058823529411764705,0.07352941176470588,0,0.07352941176470588,0.014705882352941176,0,0.014705882352941176,0.014705882352941176,0.029411764705882353,0,0.029411764705882353
76,2013-02-01,both,33,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2013-03-01,national,79,0.05063291139240506,0.012658227848101266,0.06329113924050633,0.012658227848101266,0,0.012658227848101266,-0.012658227848101266,0.012658227848101266,0,0.012658227848101266,0.02531645569620253,0,0.02531645569620253
78,2013-03-01,international,91,0,0.03296703296703297,0.03296703296703297,0.02197802197802198,0.03296703296703297,0.054945054945054944,0,0,0,0.01098901098901099,-0.02197802197802198,0.02197802197802198,0
79,2013-03-01,national,78,0.038461538461538464,0.01282051282051282,0.05128205128205128,0.038461538461538464,0.01282051282051282,0.05128205128205128,0.01282051282051282,0,0.01282051282051282,0,0.038461538461538464,0,0.038461538461538464
80,2013-03-01,both,43,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0,0.023255813953488372,0.023255813953488372,0,0.023255813953488372,0,0.046511627906976744,0,0.046511627906976744
81,2013-04-01,national,21,0.047619047619047616,0,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
82,2013-04-01,national,67,0.04477611940298507,0,0.04477611940298507,0,0,0,0,0,0,0.014925373134328358,0.014925373134328358,0,0.014925373134328358
83,2013-04-01,international,79,-0.012658227848101266,0.05063291139240506,0.0379746835443038,-0.012658227848101266,0.0379746835443038,0.02531645569620253,0,0,0,0,-0.012658227848101266,0.012658227848101266,0
84,2013-04-01,international,63,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.047619047619047616,0,0,0,0,0.015873015873015872,0,0.015873015873015872
85,2013-04-01,national,88,-0.022727272727272728,0.045454545454545456,0.022727272727272728,0,0.022727272727272728,0.022727272727272728,-0.022727272727272728,0.022727272727272728,0,0,0,0.011363636363636364,0.011363636363636364
86,2013-04-01,national,24,0.041666666666666664,0.041666666666666664,0.08333333333333333,0,0,0,0,0,0,0.041666666666666664,0.041666666666666664,0,0.041666666666666664
87,2013-04-01,both,43,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0,0.023255813953488372,0.023255813953488372,0,0.023255813953488372,0,0.046511627906976744,0,0.046511627906976744
88,2013-05-01,national,52,0.038461538461538464,0.019230769230769232,0.057692307692307696,0,0,0,-0.019230769230769232,0.019230769230769232,0,0.019230769230769232,0.057692307692307696,0,0.057692307692307696
89,2013-05-01,national,95,0.06315789473684211,0.010526315789473684,0.07368421052631578,-0.021052631578947368,0.031578947368421054,0.010526315789473684,-0.021052631578947368,0.021052631578947368,0,0,0.042105263157894736,0,0.042105263157894736
90,2013-05-01,national,46,0.043478260869565216,0,0.043478260869565216,-0.021739130434782608,0.021739130434782608,0,-0.021739130434782608,0.021739130434782608,0,0,0,0.021739130434782608,0.021739130434782608
91,2013-05-01,international,112,-0.008928571428571428,0.026785714285714284,0.017857142857142856,0,0.017857142857142856,0.017857142857142856,-0.008928571428571428,0.008928571428571428,0,0,-0.017857142857142856,0.017857142857142856,0
92,2013-05-01,national,112,0.03571428571428571,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.008928571428571428,0.026785714285714284,-0.017857142857142856,0.017857142857142856,0,0.008928571428571428,-0.008928571428571428,0.017857142857142856,0.008928571428571428
93,2013-05-01,both,57,0.07017543859649122,0.017543859649122806,0.08771929824561403,0,0,0,0,0.017543859649122806,0.017543859649122806,0,0.08771929824561403,0,0.08771929824561403
94,2013-06-01,national,43,0.023255813953488372,0.023255813953488372,0.046511627906976744,0,0,0,0,0,0,0,0.046511627906976744,0,0.046511627906976744
95,2013-06-01,national,95,0.042105263157894736,0,0.042105263157894736,0.010526315789473684,0,0.010526315789473684,0,0,0,0.021052631578947368,0.010526315789473684,0,0.010526315789473684
